[LIVE] === BTC 15-min Fair-Value MM — LIVE TRADING ===
[LIVE] UTC: 2026-05-06 10:33:48.793282+00:00
[LIVE] size=dynamic (min 5, +1 per $20 > $100)  poll=1.0s  maker-only  improve=0.0
[LIVE] No sell orders will be placed — user resolves manually
[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[py_clob_client_v2] request error status=400 url=https://clob.polymarket.com/auth/api-key body={"error":"Could not create api key"}

[LIVE] USDC balance: $172.86
[REDEEM] Relayer ready (PROXY tx type, key=019dd8ae...)
[LIVE] fair: UP=0.468 DN=0.532
[LIVE] target: UP@0.46 DN@0.52 (improve=0.0)
[LIVE] USDC: $172.86 | Size: 8.0
[UP] BUY 8sh @ 0.44  oid=0xb089fdc5209bc2f5be58daa126d2de5e95be8936d801f41e6cdd4f8af86a7053
[LIVE] UP placed @ 0.44  (target=0.46, best_ask=0.45) (improved)
[DN] BUY 8sh @ 0.52  oid=0x3f27718b0ba01da88642923e67d730b591af2569c3a8bf40fb1d646f126e1e58
[LIVE] DN placed @ 0.52  (target=0.52, best_ask=0.56)
[LIVE] UP:open@0.44 | DN:open@0.52 | 134s to start
[LIVE] UP:open@0.44 | DN:open@0.52 | 122s to start
[LIVE] UP:open@0.44 | DN:open@0.52 | 111s to start
[LIVE] UP FILLED @ 0.44
[LIVE] UP:FILLED@0.44 | DN:open@0.52 | 98s to start
[LIVE] UP:FILLED@0.44 | DN:open@0.52 | 87s to start
[LIVE] DN FILLED @ 0.52
[LIVE] candle done: UP@0.44 + DN@0.52
[LIVE] Current candle not confirmed (840s to start)
[LIVE] Current candle not confirmed (830s to start)
[LIVE] Current candle not confirmed (820s to start)
[LIVE] Current candle not confirmed (809s to start)
[LIVE] Current candle not confirmed (799s to start)
[LIVE] Current candle not confirmed (789s to start)
[LIVE] Current candle not confirmed (779s to start)
[LIVE] Current candle not confirmed (769s to start)
[LIVE] Current candle not confirmed (759s to start)
[LIVE] Current candle not confirmed (748s to start)
[LIVE] Current candle not confirmed (738s to start)
[LIVE] Current candle not confirmed (728s to start)
[LIVE] Current candle not confirmed (718s to start)
[LIVE] Current candle not confirmed (708s to start)
[LIVE] Current candle not confirmed (698s to start)
[LIVE] Current candle not confirmed (687s to start)
[LIVE] Current candle not confirmed (677s to start)
[LIVE] Current candle not confirmed (667s to start)
[LIVE] Current candle not confirmed (657s to start)
[LIVE] Current candle not confirmed (647s to start)
[LIVE] Current candle not confirmed (637s to start)
[LIVE] Current candle not confirmed (626s to start)
[LIVE] Current candle not confirmed (616s to start)
[LIVE] Current candle not confirmed (606s to start)
[LIVE] Current candle not confirmed (596s to start)
[LIVE] Current candle not confirmed (586s to start)
[LIVE] Current candle not confirmed (576s to start)
[LIVE] Current candle not confirmed (565s to start)
[LIVE] Current candle not confirmed (555s to start)
[LIVE] Current candle not confirmed (545s to start)
[LIVE] Current candle not confirmed (535s to start)
[LIVE] Current candle not confirmed (525s to start)
[LIVE] Current candle not confirmed (515s to start)
[LIVE] Current candle not confirmed (504s to start)
[LIVE] Current candle not confirmed (494s to start)
[LIVE] Current candle not confirmed (484s to start)
[LIVE] Current candle not confirmed (474s to start)
[LIVE] Current candle not confirmed (464s to start)
[LIVE] Current candle not confirmed (454s to start)
[LIVE] Current candle not confirmed (444s to start)
[LIVE] Current candle not confirmed (433s to start)
[LIVE] Current candle not confirmed (423s to start)
[LIVE] Current candle not confirmed (413s to start)
[LIVE] Current candle not confirmed (403s to start)
[LIVE] Current candle not confirmed (393s to start)
[LIVE] Current candle not confirmed (383s to start)
[LIVE] Current candle not confirmed (372s to start)
[LIVE] Current candle not confirmed (362s to start)
[LIVE] Current candle not confirmed (352s to start)
[LIVE] Current candle not confirmed (342s to start)
[LIVE] Current candle not confirmed (332s to start)
[LIVE] Current candle not confirmed (322s to start)
[LIVE] Current candle not confirmed (311s to start)
[LIVE] Current candle not confirmed (301s to start)
[LIVE] Current candle not confirmed (291s to start)
[LIVE] Current candle not confirmed (280s to start)
[LIVE] Current candle not confirmed (270s to start)
[LIVE] Current candle not confirmed (259s to start)
[LIVE] Current candle not confirmed (249s to start)
[LIVE] Current candle not confirmed (238s to start)
[LIVE] Current candle not confirmed (228s to start)
[LIVE] Current candle not confirmed (217s to start)
[LIVE] Current candle not confirmed (207s to start)
[LIVE] Current candle not confirmed (196s to start)
[LIVE] Current candle not confirmed (185s to start)
[LIVE] Current candle not confirmed (175s to start)
[LIVE] Current candle not confirmed (164s to start)
[LIVE] Current candle not confirmed (154s to start)
[LIVE] Current candle not confirmed (143s to start)
[LIVE] Current candle not confirmed (133s to start)
[LIVE] Current candle not confirmed (122s to start)
[LIVE] Current candle not confirmed (112s to start)
[LIVE] Current candle not confirmed (101s to start)
[LIVE] Current candle not confirmed (91s to start)
[LIVE] Current candle not confirmed (80s to start)
[LIVE] Current candle not confirmed (70s to start)
[LIVE] Current candle not confirmed (59s to start)
[LIVE] Current candle not confirmed (48s to start)
[LIVE] Current candle not confirmed (38s to start)
[FV] Current candle effectively UP (bid=0.96, 28s left)

[LIVE] =======================================================
[LIVE] Bitcoin Up or Down - May 6, 7:00AM-7:15AM ET
[LIVE] streak=4xUP  rsi=72.9
[LIVE] fair: UP=0.337 DN=0.663
[LIVE] target: UP@0.33 DN@0.65 (improve=0.0)
[LIVE] USDC: $172.18 | Size: 8.0
[UP] BUY 8sh @ 0.33  oid=0xf79c490e99d6005eb4ed52e8a6d91a173f330e29c8fd6f0d31742cbfa236aea6
[LIVE] UP placed @ 0.33  (target=0.33, best_ask=0.44)
[DN] BUY 8sh @ 0.56  oid=0xda09321dbcd227ee91df9d3a1bc85a1481c6e251e61cac3a0c2c7dc730e697ee
[LIVE] DN placed @ 0.56  (target=0.65, best_ask=0.57) (improved)
[LIVE] DN FILLED @ 0.56
[LIVE] UP:open@0.33 | DN:FILLED@0.56 | 13s to start
[LIVE] UP:open@0.33 | DN:FILLED@0.56 | 2s to start
[UP] cancelled 0xf79c490e99d600...
[LIVE] candle done: DN@0.56
[LIVE] Current candle not confirmed (840s to start)
[LIVE] Current candle not confirmed (830s to start)
[LIVE] Current candle not confirmed (820s to start)
[LIVE] Current candle not confirmed (809s to start)
[LIVE] Current candle not confirmed (799s to start)
[LIVE] Current candle not confirmed (789s to start)
[LIVE] Current candle not confirmed (779s to start)
[LIVE] Current candle not confirmed (769s to start)
[LIVE] Current candle not confirmed (759s to start)
[LIVE] Current candle not confirmed (748s to start)
[LIVE] Current candle not confirmed (738s to start)
[LIVE] Current candle not confirmed (728s to start)
[LIVE] Current candle not confirmed (718s to start)
[LIVE] Current candle not confirmed (708s to start)
[LIVE] Current candle not confirmed (698s to start)
[LIVE] Current candle not confirmed (687s to start)
[LIVE] Current candle not confirmed (677s to start)
[LIVE] Current candle not confirmed (667s to start)
[LIVE] Current candle not confirmed (656s to start)
[LIVE] Current candle not confirmed (646s to start)
[LIVE] Current candle not confirmed (636s to start)
[LIVE] Current candle not confirmed (626s to start)
[LIVE] Current candle not confirmed (616s to start)
[LIVE] Current candle not confirmed (606s to start)
[LIVE] Current candle not confirmed (595s to start)
[LIVE] Current candle not confirmed (585s to start)
[LIVE] Current candle not confirmed (575s to start)
[LIVE] Current candle not confirmed (565s to start)
[LIVE] Current candle not confirmed (555s to start)
[LIVE] Current candle not confirmed (545s to start)
[LIVE] Current candle not confirmed (534s to start)
[LIVE] Current candle not confirmed (524s to start)
[LIVE] Current candle not confirmed (514s to start)
[LIVE] Current candle not confirmed (504s to start)
[LIVE] Current candle not confirmed (494s to start)
[LIVE] Current candle not confirmed (484s to start)
[LIVE] Current candle not confirmed (473s to start)
[LIVE] Current candle not confirmed (463s to start)
[LIVE] Current candle not confirmed (453s to start)
[LIVE] Current candle not confirmed (443s to start)
[LIVE] Current candle not confirmed (433s to start)
[LIVE] Current candle not confirmed (422s to start)
[LIVE] Current candle not confirmed (412s to start)
[LIVE] Current candle not confirmed (402s to start)
[LIVE] Current candle not confirmed (392s to start)
[LIVE] Current candle not confirmed (382s to start)
[LIVE] Current candle not confirmed (372s to start)
[LIVE] Current candle not confirmed (361s to start)
[LIVE] Current candle not confirmed (351s to start)
[LIVE] Current candle not confirmed (341s to start)
[LIVE] Current candle not confirmed (331s to start)
[LIVE] Current candle not confirmed (321s to start)
[LIVE] Current candle not confirmed (311s to start)
[LIVE] Current candle not confirmed (300s to start)
[FV] Current candle effectively UP (bid=0.96, 291s left)

[LIVE] =======================================================
[LIVE] Bitcoin Up or Down - May 6, 7:15AM-7:30AM ET
[LIVE] streak=5xUP  rsi=75.68
[LIVE] fair: UP=0.380 DN=0.620
[LIVE] target: UP@0.37 DN@0.61 (improve=0.0)
[LIVE] USDC: $175.70 | Size: 8.0
[UP] BUY 8sh @ 0.37  oid=0xe197f2ed0fddf37d54a4db2b736751e7f4713fec675b877c4272be45085a1f2c
[LIVE] UP placed @ 0.37  (target=0.37, best_ask=0.45)
[DN] BUY 8sh @ 0.55  oid=0x2b0b1c51a37e1f6f023b1093d78ff5e9ad068da8d1b8fc731d176868f08fdd15
[LIVE] DN placed @ 0.55  (target=0.61, best_ask=0.56) (improved)
[LIVE] UP:open@0.37 | DN:open@0.55 | 278s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 266s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 255s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 244s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 232s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 221s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 209s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 198s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 187s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 175s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 164s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 153s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 141s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 130s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 119s to start
[LIVE] UP:open@0.37 | DN:open@0.55 | 107s to start
[LIVE] DN FILLED @ 0.55
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 94s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 83s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 73s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 62s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 51s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 41s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 30s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 19s to start
[LIVE] UP:open@0.37 | DN:FILLED@0.55 | 9s to start
[UP] cancelled 0xe197f2ed0fddf3...
[LIVE] candle done: DN@0.55
[LIVE] Current candle not confirmed (840s to start)
[LIVE] Current candle not confirmed (830s to start)
[LIVE] Current candle not confirmed (819s to start)
[LIVE] Current candle not confirmed (809s to start)
[LIVE] Current candle not confirmed (799s to start)
[LIVE] Current candle not confirmed (789s to start)
[LIVE] Current candle not confirmed (779s to start)
[LIVE] Current candle not confirmed (769s to start)
[LIVE] Current candle not confirmed (759s to start)
[LIVE] Current candle not confirmed (748s to start)
[LIVE] Current candle not confirmed (738s to start)
[LIVE] Current candle not confirmed (728s to start)
[LIVE] Current candle not confirmed (718s to start)
[LIVE] Current candle not confirmed (708s to start)
[LIVE] Current candle not confirmed (698s to start)
[LIVE] Current candle not confirmed (687s to start)
[LIVE] Current candle not confirmed (677s to start)
[LIVE] Current candle not confirmed (667s to start)
[LIVE] Current candle not confirmed (657s to start)
[LIVE] Current candle not confirmed (647s to start)
[LIVE] Current candle not confirmed (637s to start)
[LIVE] Current candle not confirmed (626s to start)
[LIVE] Current candle not confirmed (616s to start)
[LIVE] Current candle not confirmed (606s to start)
[LIVE] Current candle not confirmed (596s to start)
[LIVE] Current candle not confirmed (586s to start)
[LIVE] Current candle not confirmed (576s to start)
[LIVE] Current candle not confirmed (565s to start)
[LIVE] Current candle not confirmed (555s to start)
[LIVE] Current candle not confirmed (545s to start)
[LIVE] Current candle not confirmed (535s to start)
[LIVE] Current candle not confirmed (525s to start)
[LIVE] Current candle not confirmed (515s to start)
[LIVE] Current candle not confirmed (504s to start)
[LIVE] Current candle not confirmed (494s to start)
[LIVE] Current candle not confirmed (484s to start)
[LIVE] Current candle not confirmed (474s to start)
[LIVE] Current candle not confirmed (464s to start)
[LIVE] Current candle not confirmed (454s to start)
[LIVE] Current candle not confirmed (443s to start)
[LIVE] Current candle not confirmed (433s to start)
[LIVE] Current candle not confirmed (423s to start)
[LIVE] Current candle not confirmed (413s to start)
[LIVE] Current candle not confirmed (403s to start)
[LIVE] Current candle not confirmed (393s to start)
[LIVE] Current candle not confirmed (383s to start)
[LIVE] Current candle not confirmed (372s to start)
[LIVE] Current candle not confirmed (362s to start)
[LIVE] Current candle not confirmed (352s to start)
[LIVE] Current candle not confirmed (342s to start)
[LIVE] Current candle not confirmed (332s to start)
[LIVE] Current candle not confirmed (322s to start)
[LIVE] Current candle not confirmed (311s to start)
[LIVE] Current candle not confirmed (301s to start)
[FV] Current candle effectively UP (bid=1.00, 292s left)

[LIVE] =======================================================
[LIVE] Bitcoin Up or Down - May 6, 7:30AM-7:45AM ET
[LIVE] streak=6xUP  rsi=79.95
[LIVE] fair: UP=0.369 DN=0.631
[LIVE] target: UP@0.36 DN@0.62 (improve=0.0)
[LIVE] USDC: $171.30 | Size: 8.0
[UP] BUY 8sh @ 0.36  oid=0xdd5208d7a265d7404c292098e0e76af49cf7022879dacf0340cc60b60b863185
[LIVE] UP placed @ 0.36  (target=0.36, best_ask=0.45)
[DN] BUY 8sh @ 0.55  oid=0x9cd999d1a40781b771b5bd73bb7c15896182593eee9d849654f9afd88b56d3da
[LIVE] DN placed @ 0.55  (target=0.62, best_ask=0.56) (improved)
[LIVE] UP:open@0.36 | DN:open@0.55 | 278s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 267s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 255s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 244s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 233s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 221s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 210s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 198s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 187s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 175s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 164s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 153s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 141s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 130s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 119s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 107s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 96s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 84s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 73s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 62s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 50s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 39s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 28s to start
[LIVE] UP:open@0.36 | DN:open@0.55 | 16s to start
[LIVE] DN FILLED @ 0.55
[LIVE] UP:open@0.36 | DN:FILLED@0.55 | 1s to start
[UP] cancelled 0xdd5208d7a265d7...
[LIVE] candle done: DN@0.55
[LIVE] Current candle not confirmed (840s to start)
[LIVE] Current candle not confirmed (830s to start)
[LIVE] Current candle not confirmed (819s to start)
[LIVE] Current candle not confirmed (809s to start)
[LIVE] Current candle not confirmed (799s to start)
[LIVE] Current candle not confirmed (789s to start)
[LIVE] Current candle not confirmed (779s to start)
[LIVE] Current candle not confirmed (769s to start)
[LIVE] Current candle not confirmed (758s to start)
[LIVE] Current candle not confirmed (748s to start)
[LIVE] Current candle not confirmed (738s to start)
[LIVE] Current candle not confirmed (728s to start)
[LIVE] Current candle not confirmed (718s to start)
[LIVE] Current candle not confirmed (708s to start)
[LIVE] Current candle not confirmed (697s to start)
[LIVE] Current candle not confirmed (687s to start)
[LIVE] Current candle not confirmed (677s to start)
[LIVE] Current candle not confirmed (667s to start)
[REDEEM] Found 2 conditionIds, 2 positions, ~$0.00 payout. Batching into groups of 3.
[REDEEM] batch 1: 2 cids submitted tx=0x3218b025ecbf8582
[LIVE] Current candle not confirmed (653s to start)
[LIVE] Current candle not confirmed (643s to start)
[LIVE] Current candle not confirmed (633s to start)
[LIVE] Current candle not confirmed (622s to start)
[LIVE] Current candle not confirmed (612s to start)
[LIVE] Current candle not confirmed (602s to start)
[LIVE] Current candle not confirmed (592s to start)
[LIVE] Current candle not confirmed (582s to start)
[LIVE] Current candle not confirmed (572s to start)
[LIVE] Current candle not confirmed (562s to start)
[LIVE] Current candle not confirmed (551s to start)
[LIVE] Current candle not confirmed (541s to start)
[LIVE] Current candle not confirmed (531s to start)
[LIVE] Current candle not confirmed (521s to start)
[LIVE] Current candle not confirmed (511s to start)
[LIVE] Current candle not confirmed (501s to start)
[LIVE] Current candle not confirmed (490s to start)
[LIVE] Current candle not confirmed (480s to start)
[LIVE] Current candle not confirmed (470s to start)
[LIVE] Current candle not confirmed (460s to start)
[LIVE] Current candle not confirmed (450s to start)
[LIVE] Current candle not confirmed (440s to start)
[LIVE] Current candle not confirmed (429s to start)
[LIVE] Current candle not confirmed (419s to start)
[LIVE] Current candle not confirmed (409s to start)
[LIVE] Current candle not confirmed (399s to start)
[LIVE] Current candle not confirmed (389s to start)
[LIVE] Current candle not confirmed (379s to start)
[LIVE] Current candle not confirmed (368s to start)
[LIVE] Current candle not confirmed (358s to start)
[LIVE] Current candle not confirmed (348s to start)
[LIVE] Current candle not confirmed (338s to start)
[LIVE] Current candle not confirmed (328s to start)
[LIVE] Current candle not confirmed (318s to start)
[LIVE] Current candle not confirmed (307s to start)
[LIVE] Current candle not confirmed (297s to start)
[LIVE] Current candle not confirmed (287s to start)
[LIVE] Current candle not confirmed (276s to start)
[LIVE] Current candle not confirmed (266s to start)
[LIVE] Current candle not confirmed (255s to start)
[LIVE] Current candle not confirmed (244s to start)
[LIVE] Current candle not confirmed (234s to start)
[LIVE] Current candle not confirmed (223s to start)
[LIVE] Current candle not confirmed (213s to start)
[LIVE] Current candle not confirmed (202s to start)
[FV] Current candle effectively DN (bid=0.96, 192s left)

[LIVE] =======================================================
[LIVE] Bitcoin Up or Down - May 6, 7:45AM-8:00AM ET
[LIVE] streak=1xDN  rsi=71.71
[LIVE] fair: UP=0.471 DN=0.529
[LIVE] target: UP@0.46 DN@0.52 (improve=0.0)
[LIVE] USDC: $166.90 | Size: 8.0
[UP] BUY 8sh @ 0.45  oid=0x27802f0d8822e16ddb4d376945d6e3e9a3c69fc9d111f7e91de34f604ac2cc6b
[LIVE] UP placed @ 0.45  (target=0.46, best_ask=0.46) (improved)
[DN] BUY 8sh @ 0.52  oid=0xda7616a1b6a4dfa5938fcb0dddd82e10b2c3f1ca445ce3c9bc309eb8d0a81045
[LIVE] DN placed @ 0.52  (target=0.52, best_ask=0.55)
[LIVE] UP:open@0.45 | DN:open@0.52 | 179s to start
[LIVE] UP:open@0.45 | DN:open@0.52 | 168s to start
[LIVE] UP:open@0.45 | DN:open@0.52 | 156s to start
[LIVE] UP:open@0.45 | DN:open@0.52 | 145s to start
[LIVE] UP:open@0.45 | DN:open@0.52 | 134s to start
[LIVE] UP:open@0.45 | DN:open@0.52 | 122s to start
[LIVE] DN FILLED @ 0.52
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 109s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 98s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 87s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 77s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 66s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 55s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 45s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 34s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 23s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 12s to start
[LIVE] UP:open@0.45 | DN:FILLED@0.52 | 2s to start
[UP] cancelled 0x27802f0d8822e1...
[LIVE] candle done: DN@0.52
[LIVE] Current candle not confirmed (840s to start)
[LIVE] Current candle not confirmed (829s to start)
[LIVE] Current candle not confirmed (819s to start)
[LIVE] Current candle not confirmed (809s to start)
[LIVE] Current candle not confirmed (799s to start)
[LIVE] Current candle not confirmed (789s to start)
[LIVE] Current candle not confirmed (779s to start)
[LIVE] Current candle not confirmed (769s to start)
[LIVE] Current candle not confirmed (758s to start)
[LIVE] Current candle not confirmed (748s to start)
[LIVE] Current candle not confirmed (738s to start)
[LIVE] Current candle not confirmed (728s to start)
[LIVE] Current candle not confirmed (718s to start)
[LIVE] Current candle not confirmed (708s to start)
[LIVE] Current candle not confirmed (697s to start)
[LIVE] Current candle not confirmed (687s to start)
[LIVE] Current candle not confirmed (677s to start)
[LIVE] Current candle not confirmed (667s to start)
[LIVE] Current candle not confirmed (657s to start)
[LIVE] Current candle not confirmed (647s to start)
[LIVE] Current candle not confirmed (636s to start)
[LIVE] Current candle not confirmed (626s to start)
[LIVE] Current candle not confirmed (616s to start)
[LIVE] Current candle not confirmed (606s to start)
[LIVE] Current candle not confirmed (596s to start)
[LIVE] Current candle not confirmed (586s to start)
[LIVE] Current candle not confirmed (575s to start)
[LIVE] Current candle not confirmed (565s to start)
[LIVE] Current candle not confirmed (555s to start)
[LIVE] Current candle not confirmed (545s to start)
[LIVE] Current candle not confirmed (535s to start)
[LIVE] Current candle not confirmed (525s to start)
[LIVE] Current candle not confirmed (514s to start)
[LIVE] Current candle not confirmed (504s to start)
[LIVE] Current candle not confirmed (494s to start)
[LIVE] Current candle not confirmed (484s to start)
[LIVE] Current candle not confirmed (474s to start)
[LIVE] Current candle not confirmed (464s to start)
[LIVE] Current candle not confirmed (453s to start)
[LIVE] Current candle not confirmed (443s to start)
[LIVE] Current candle not confirmed (433s to start)
[LIVE] Current candle not confirmed (423s to start)
[LIVE] Current candle not confirmed (413s to start)
[LIVE] Current candle not confirmed (403s to start)
[LIVE] Current candle not confirmed (392s to start)
[LIVE] Current candle not confirmed (382s to start)
[LIVE] Current candle not confirmed (372s to start)
[LIVE] Current candle not confirmed (362s to start)
[LIVE] Current candle not confirmed (352s to start)
[LIVE] Current candle not confirmed (342s to start)
[LIVE] Current candle not confirmed (332s to start)
[LIVE] Current candle not confirmed (321s to start)
[LIVE] Current candle not confirmed (311s to start)
[LIVE] Current candle not confirmed (301s to start)
[LIVE] Current candle not confirmed (291s to start)
[LIVE] Current candle not confirmed (280s to start)
[LIVE] Current candle not confirmed (270s to start)
[LIVE] Current candle not confirmed (259s to start)
[LIVE] Current candle not confirmed (249s to start)
[LIVE] Current candle not confirmed (238s to start)
[LIVE] Current candle not confirmed (228s to start)
[LIVE] Current candle not confirmed (217s to start)
[LIVE] Current candle not confirmed (206s to start)
[LIVE] Current candle not confirmed (196s to start)
[LIVE] Current candle not confirmed (185s to start)
[LIVE] Current candle not confirmed (175s to start)
[LIVE] Current candle not confirmed (164s to start)
[LIVE] Current candle not confirmed (154s to start)
[LIVE] Current candle not confirmed (143s to start)
[LIVE] Current candle not confirmed (133s to start)
[LIVE] Current candle not confirmed (122s to start)
[LIVE] Current candle not confirmed (111s to start)
[LIVE] Current candle not confirmed (101s to start)
[LIVE] Current candle not confirmed (90s to start)
[LIVE] Current candle not confirmed (80s to start)
[LIVE] Current candle not confirmed (69s to start)
[LIVE] Current candle not confirmed (59s to start)
[LIVE] Current candle not confirmed (48s to start)
[LIVE] Current candle not confirmed (38s to start)
[LIVE] Current candle not confirmed (27s to start)
[LIVE] Current candle not confirmed (17s to start)
[FV] Current candle effectively UP (bid=0.96, 7s left)

[LIVE] =======================================================
[LIVE] Bitcoin Up or Down - May 6, 8:00AM-8:15AM ET
[LIVE] streak=1xUP  rsi=71.37
[LIVE] fair: UP=0.480 DN=0.520
[LIVE] target: UP@0.47 DN@0.51 (improve=0.0)
[LIVE] USDC: $170.74 | Size: 8.0
[UP] BUY 8sh @ 0.47  oid=0xe36247769f15088c489cd77e286d3311053baea889fa5cd630d2c222b15485ee
[LIVE] UP placed @ 0.47  (target=0.47, best_ask=0.49)
