=== CS2 BLAST Semi Monitor ===
Started at 2026-03-28 13:00:57 UTC
Balance: $9.56

  Pre-game NAVI GF: 0.570
  Pre-game Parivision GF: 0.410

--- Check #1 at 13:00:59 UTC | Balance: $9.56 ---
--- Check #44 at 14:06:16 UTC | Balance: $9.56 ---

--- Check #45 at 14:07:47 UTC | Balance: $9.56 ---

--- Check #46 at 14:09:19 UTC | Balance: $9.56 ---

--- Check #47 at 14:10:50 UTC | Balance: $9.56 ---

--- Check #48 at 14:12:21 UTC | Balance: $9.56 ---

--- Check #49 at 14:13:52 UTC | Balance: $9.56 ---

--- Check #50 at 14:15:23 UTC | Balance: $9.56 ---

--- Check #51 at 14:16:54 UTC | Balance: $9.56 ---

--- Check #52 at 14:18:25 UTC | Balance: $9.56 ---

--- Check #53 at 14:19:56 UTC | Balance: $9.56 ---

--- Check #54 at 14:21:27 UTC | Balance: $9.56 ---

--- Check #55 at 14:22:59 UTC | Balance: $9.56 ---

--- Check #56 at 14:24:30 UTC | Balance: $9.56 ---

--- Check #57 at 14:26:01 UTC | Balance: $9.56 ---

--- Check #58 at 14:27:32 UTC | Balance: $9.56 ---

--- Check #59 at 14:29:03 UTC | Balance: $9.56 ---

--- Check #60 at 14:30:34 UTC | Balance: $9.56 ---

--- Check #61 at 14:32:05 UTC | Balance: $9.56 ---

--- Check #62 at 14:33:36 UTC | Balance: $9.56 ---

--- Check #63 at 14:35:07 UTC | Balance: $9.56 ---

--- Check #64 at 14:36:38 UTC | Balance: $9.56 ---

--- Check #65 at 14:38:09 UTC | Balance: $9.56 ---

--- Check #66 at 14:39:40 UTC | Balance: $9.56 ---

--- Check #67 at 14:41:11 UTC | Balance: $9.56 ---

--- Check #68 at 14:42:42 UTC | Balance: $9.56 ---

--- Check #69 at 14:44:14 UTC | Balance: $9.56 ---

--- Check #70 at 14:45:45 UTC | Balance: $9.56 ---

--- Check #71 at 14:47:16 UTC | Balance: $9.56 ---

--- Check #72 at 14:48:47 UTC | Balance: $9.56 ---

--- Check #73 at 14:50:18 UTC | Balance: $9.56 ---

--- Check #74 at 14:51:49 UTC | Balance: $9.56 ---

--- Check #75 at 14:53:20 UTC | Balance: $9.56 ---

--- Check #76 at 14:54:51 UTC | Balance: $9.56 ---

--- Check #77 at 14:56:22 UTC | Balance: $9.56 ---

--- Check #78 at 14:57:53 UTC | Balance: $9.56 ---

--- Check #79 at 14:59:25 UTC | Balance: $9.56 ---

--- Check #80 at 15:00:56 UTC | Balance: $9.56 ---

--- Check #81 at 15:02:27 UTC | Balance: $9.56 ---

--- Check #82 at 15:03:58 UTC | Balance: $9.56 ---

--- Check #83 at 15:05:29 UTC | Balance: $9.56 ---

--- Check #84 at 15:07:00 UTC | Balance: $9.56 ---

--- Check #85 at 15:08:31 UTC | Balance: $9.56 ---

--- Check #86 at 15:10:02 UTC | Balance: $9.56 ---

--- Check #87 at 15:11:33 UTC | Balance: $9.56 ---

--- Check #88 at 15:13:05 UTC | Balance: $9.56 ---

--- Check #89 at 15:14:36 UTC | Balance: $9.56 ---

--- Check #90 at 15:16:07 UTC | Balance: $9.56 ---

--- Check #91 at 15:17:37 UTC | Balance: $9.56 ---

--- Check #92 at 15:19:08 UTC | Balance: $9.56 ---

--- Check #93 at 15:20:40 UTC | Balance: $9.56 ---

--- Check #94 at 15:22:11 UTC | Balance: $9.56 ---

--- Check #95 at 15:23:42 UTC | Balance: $9.56 ---

--- Check #96 at 15:25:13 UTC | Balance: $9.56 ---

--- Check #97 at 15:26:45 UTC | Balance: $9.56 ---

--- Check #98 at 15:28:16 UTC | Balance: $9.56 ---

--- Check #99 at 15:29:47 UTC | Balance: $9.56 ---

--- Check #100 at 15:31:18 UTC | Balance: $9.56 ---

--- Check #101 at 15:32:49 UTC | Balance: $9.56 ---

--- Check #102 at 15:34:20 UTC | Balance: $9.56 ---

--- Check #103 at 15:35:51 UTC | Balance: $9.56 ---

--- Check #104 at 15:37:22 UTC | Balance: $9.56 ---

--- Check #105 at 15:38:53 UTC | Balance: $9.56 ---

--- Check #106 at 15:40:25 UTC | Balance: $9.56 ---

--- Check #107 at 15:41:56 UTC | Balance: $9.56 ---

--- Check #108 at 15:43:27 UTC | Balance: $9.56 ---

--- Check #109 at 15:44:58 UTC | Balance: $9.56 ---

--- Check #110 at 15:46:29 UTC | Balance: $9.56 ---

--- Check #111 at 15:48:00 UTC | Balance: $9.56 ---

--- Check #112 at 15:49:31 UTC | Balance: $9.56 ---

--- Check #113 at 15:51:02 UTC | Balance: $9.56 ---

--- Check #114 at 15:52:34 UTC | Balance: $9.56 ---

--- Check #115 at 15:54:05 UTC | Balance: $9.56 ---

--- Check #116 at 15:55:36 UTC | Balance: $9.56 ---

--- Check #117 at 15:57:07 UTC | Balance: $9.56 ---

--- Check #118 at 15:58:38 UTC | Balance: $9.56 ---

--- Check #119 at 16:00:09 UTC | Balance: $9.56 ---

--- Check #120 at 16:01:40 UTC | Balance: $9.56 ---

--- Check #121 at 16:03:11 UTC | Balance: $9.56 ---

--- Check #122 at 16:04:42 UTC | Balance: $9.56 ---

--- Check #123 at 16:06:13 UTC | Balance: $9.56 ---

--- Check #124 at 16:07:45 UTC | Balance: $9.56 ---

--- Check #125 at 16:09:16 UTC | Balance: $9.56 ---

--- Check #126 at 16:10:47 UTC | Balance: $9.56 ---

--- Check #127 at 16:12:18 UTC | Balance: $9.56 ---

--- Check #128 at 16:13:49 UTC | Balance: $9.56 ---

--- Check #129 at 16:15:20 UTC | Balance: $9.56 ---

--- Check #130 at 16:16:51 UTC | Balance: $9.56 ---

--- Check #131 at 16:18:22 UTC | Balance: $9.56 ---

--- Check #132 at 16:19:53 UTC | Balance: $9.56 ---

--- Check #133 at 16:21:24 UTC | Balance: $9.56 ---

--- Check #134 at 16:22:55 UTC | Balance: $9.56 ---

--- Check #135 at 16:24:26 UTC | Balance: $9.56 ---

--- Check #136 at 16:25:57 UTC | Balance: $9.56 ---

--- Check #137 at 16:27:29 UTC | Balance: $9.56 ---

--- Check #138 at 16:29:00 UTC | Balance: $9.56 ---

--- Check #139 at 16:30:31 UTC | Balance: $9.56 ---

--- Check #140 at 16:32:02 UTC | Balance: $9.56 ---

--- Check #141 at 16:33:33 UTC | Balance: $9.56 ---

--- Check #142 at 16:35:04 UTC | Balance: $9.56 ---

--- Check #143 at 16:36:35 UTC | Balance: $9.56 ---

--- Check #144 at 16:38:06 UTC | Balance: $9.56 ---

--- Check #145 at 16:39:38 UTC | Balance: $9.56 ---

--- Check #146 at 16:41:09 UTC | Balance: $9.56 ---

--- Check #147 at 16:42:40 UTC | Balance: $9.56 ---

--- Check #148 at 16:44:11 UTC | Balance: $9.56 ---

--- Check #149 at 16:45:43 UTC | Balance: $9.56 ---

--- Check #150 at 16:47:14 UTC | Balance: $9.56 ---

--- Check #151 at 16:48:45 UTC | Balance: $9.56 ---

--- Check #152 at 16:50:16 UTC | Balance: $9.56 ---

--- Check #153 at 16:51:48 UTC | Balance: $9.56 ---

--- Check #154 at 16:53:19 UTC | Balance: $9.56 ---

--- Check #155 at 16:54:51 UTC | Balance: $9.56 ---

--- Check #156 at 16:56:22 UTC | Balance: $9.56 ---

--- Check #157 at 16:57:53 UTC | Balance: $9.56 ---

--- Check #158 at 16:59:25 UTC | Balance: $7.06 ---

--- Check #159 at 17:00:56 UTC | Balance: $7.06 ---

--- Check #160 at 17:02:27 UTC | Balance: $7.06 ---

--- Check #161 at 17:03:58 UTC | Balance: $7.06 ---

--- Check #162 at 17:05:29 UTC | Balance: $7.06 ---

--- Check #163 at 17:07:01 UTC | Balance: $7.06 ---

--- Check #164 at 17:08:32 UTC | Balance: $7.06 ---

--- Check #165 at 17:10:04 UTC | Balance: $7.06 ---

--- Check #166 at 17:11:35 UTC | Balance: $7.06 ---

--- Check #167 at 17:13:06 UTC | Balance: $7.06 ---

--- Check #168 at 17:14:37 UTC | Balance: $7.06 ---

--- Check #169 at 17:16:09 UTC | Balance: $7.06 ---

--- Check #170 at 17:17:40 UTC | Balance: $7.06 ---

--- Check #171 at 17:19:11 UTC | Balance: $7.06 ---

--- Check #172 at 17:20:42 UTC | Balance: $7.06 ---

--- Check #173 at 17:22:13 UTC | Balance: $7.06 ---

--- Check #174 at 17:23:44 UTC | Balance: $7.06 ---

--- Check #175 at 17:25:16 UTC | Balance: $7.06 ---

--- Check #176 at 17:26:47 UTC | Balance: $7.06 ---

--- Check #177 at 17:28:18 UTC | Balance: $7.06 ---

--- Check #178 at 17:29:49 UTC | Balance: $7.06 ---

--- Check #179 at 17:31:21 UTC | Balance: $7.06 ---

--- Check #180 at 17:32:52 UTC | Balance: $7.06 ---

--- Check #181 at 17:34:23 UTC | Balance: $7.06 ---

--- Check #182 at 17:35:55 UTC | Balance: $7.06 ---

--- Check #183 at 17:37:26 UTC | Balance: $7.06 ---

--- Check #184 at 17:38:57 UTC | Balance: $7.06 ---

--- Check #185 at 17:40:29 UTC | Balance: $7.06 ---

--- Check #186 at 17:42:00 UTC | Balance: $7.06 ---

--- Check #187 at 17:43:31 UTC | Balance: $7.06 ---

--- Check #188 at 17:45:02 UTC | Balance: $7.06 ---

--- Check #189 at 17:46:33 UTC | Balance: $7.06 ---

--- Check #190 at 17:48:05 UTC | Balance: $7.06 ---

--- Check #191 at 17:49:36 UTC | Balance: $7.06 ---

--- Check #192 at 17:51:07 UTC | Balance: $7.06 ---

--- Check #193 at 17:52:38 UTC | Balance: $7.06 ---

--- Check #194 at 17:54:09 UTC | Balance: $7.06 ---

--- Check #195 at 17:55:40 UTC | Balance: $7.06 ---

--- Check #196 at 17:57:12 UTC | Balance: $7.06 ---

--- Check #197 at 17:58:43 UTC | Balance: $7.06 ---

--- Check #198 at 18:00:14 UTC | Balance: $7.06 ---

--- Check #199 at 18:01:45 UTC | Balance: $7.06 ---

--- Check #200 at 18:03:17 UTC | Balance: $7.06 ---

--- Check #201 at 18:04:48 UTC | Balance: $7.06 ---

--- Check #202 at 18:06:19 UTC | Balance: $7.06 ---

--- Check #203 at 18:07:50 UTC | Balance: $7.06 ---

--- Check #204 at 18:09:21 UTC | Balance: $7.06 ---

--- Check #205 at 18:10:52 UTC | Balance: $7.06 ---

--- Check #206 at 18:12:23 UTC | Balance: $7.06 ---

--- Check #207 at 18:13:54 UTC | Balance: $7.06 ---

--- Check #208 at 18:15:25 UTC | Balance: $7.06 ---

--- Check #209 at 18:16:57 UTC | Balance: $7.06 ---

--- Check #210 at 18:18:28 UTC | Balance: $7.06 ---

--- Check #211 at 18:19:59 UTC | Balance: $7.06 ---

--- Check #212 at 18:21:30 UTC | Balance: $7.06 ---

--- Check #213 at 18:23:01 UTC | Balance: $7.06 ---

--- Check #214 at 18:24:37 UTC | Balance: $7.06 ---

--- Check #215 at 18:26:08 UTC | Balance: $7.06 ---

--- Check #216 at 18:27:39 UTC | Balance: $7.06 ---

--- Check #217 at 18:29:14 UTC | Balance: $7.06 ---

--- Check #218 at 18:30:45 UTC | Balance: $7.06 ---

--- Check #219 at 18:32:16 UTC | Balance: $7.06 ---

--- Check #220 at 18:33:48 UTC | Balance: $7.06 ---

--- Check #221 at 18:35:19 UTC | Balance: $7.06 ---

--- Check #222 at 18:36:50 UTC | Balance: $7.06 ---

--- Check #223 at 18:38:21 UTC | Balance: $7.06 ---

--- Check #224 at 18:39:52 UTC | Balance: $7.06 ---

--- Check #225 at 18:41:23 UTC | Balance: $7.06 ---

--- Check #226 at 18:42:54 UTC | Balance: $7.06 ---

--- Check #227 at 18:44:26 UTC | Balance: $5.09 ---

--- Check #228 at 18:45:57 UTC | Balance: $5.09 ---

--- Check #229 at 18:47:28 UTC | Balance: $5.09 ---

--- Check #230 at 18:48:59 UTC | Balance: $5.09 ---

--- Check #231 at 18:50:31 UTC | Balance: $5.09 ---

--- Check #232 at 18:52:02 UTC | Balance: $5.09 ---

--- Check #233 at 18:53:33 UTC | Balance: $5.09 ---

--- Check #234 at 18:55:04 UTC | Balance: $5.09 ---

--- Check #235 at 18:56:35 UTC | Balance: $5.09 ---

--- Check #236 at 18:58:06 UTC | Balance: $5.09 ---

--- Check #237 at 18:59:38 UTC | Balance: $5.09 ---

--- Check #238 at 19:01:08 UTC | Balance: $5.09 ---

--- Check #239 at 19:02:39 UTC | Balance: $5.09 ---

--- Check #240 at 19:04:10 UTC | Balance: $5.09 ---
  Parivision GF    buy=0.480 sell=0.490 spread=-0.010 jump=+0.070 

--- Check #241 at 19:05:42 UTC | Balance: $5.09 ---
  Parivision GF    buy=0.480 sell=0.490 spread=-0.010 jump=+0.070 

--- Check #242 at 19:07:13 UTC | Balance: $5.09 ---
  Parivision GF    buy=0.480 sell=0.800 spread=-0.320 jump=+0.070 

--- Check #243 at 19:08:44 UTC | Balance: $5.09 ---
  Parivision GF    buy=0.480 sell=0.800 spread=-0.320 jump=+0.070 

--- Check #244 at 19:10:15 UTC | Balance: $5.09 ---
  Parivision GF    buy=0.480 sell=0.800 spread=-0.320 jump=+0.070 

--- Check #245 at 19:11:47 UTC | Balance: $5.09 ---
  Parivision GF    buy=0.480 sell=0.800 spread=-0.320 jump=+0.070 

--- Check #246 at 19:13:18 UTC | Balance: $5.09 ---

--- Check #247 at 19:14:49 UTC | Balance: $5.09 ---

--- Check #248 at 19:16:22 UTC | Balance: $5.09 ---

--- Check #249 at 19:17:53 UTC | Balance: $5.09 ---

--- Check #250 at 19:19:24 UTC | Balance: $5.09 ---

--- Check #251 at 19:20:55 UTC | Balance: $5.09 ---

--- Check #252 at 19:22:26 UTC | Balance: $5.09 ---

--- Check #253 at 19:23:57 UTC | Balance: $5.09 ---

--- Check #254 at 19:25:29 UTC | Balance: $5.09 ---

--- Check #255 at 19:27:00 UTC | Balance: $5.09 ---

--- Check #256 at 19:28:31 UTC | Balance: $5.09 ---

--- Check #257 at 19:30:02 UTC | Balance: $5.09 ---
  NAVI GF          buy=0.660 sell=0.670 spread=-0.010 jump=+0.090 

--- Check #258 at 19:31:34 UTC | Balance: $5.09 ---
  NAVI GF          buy=0.660 sell=0.670 spread=-0.010 jump=+0.090 

--- Check #259 at 19:33:04 UTC | Balance: $5.09 ---
  NAVI GF          buy=0.890 sell=0.980 spread=-0.090 jump=+0.320 

--- Check #260 at 19:34:36 UTC | Balance: $5.09 ---
  NAVI GF          buy=0.890 sell=0.980 spread=-0.090 jump=+0.320 

--- Check #261 at 19:36:07 UTC | Balance: $5.09 ---
  NAVI GF          buy=0.890 sell=0.980 spread=-0.090 jump=+0.320 

--- Check #262 at 19:37:38 UTC | Balance: $5.09 ---
  NAVI GF          buy=0.960 sell=0.990 spread=-0.030 jump=+0.390 ***BUY***

  *** CS2 NEAR-RES BUY NAVI GF @ ~0.990 for $1.42 ***
[NAVI GF] NEAR-RES BUY 1.43sh @ 0.990 (taker at ask)

--- Check #263 at 19:39:13 UTC | Balance: $3.67 ---

--- Check #264 at 19:40:44 UTC | Balance: $3.67 ---

--- Check #265 at 19:42:14 UTC | Balance: $3.67 ---

--- Check #266 at 19:43:45 UTC | Balance: $3.67 ---

--- Check #267 at 19:45:16 UTC | Balance: $3.67 ---

--- Check #268 at 19:46:46 UTC | Balance: $3.67 ---

--- Check #269 at 19:48:17 UTC | Balance: $3.67 ---

--- Check #270 at 19:49:47 UTC | Balance: $3.67 ---

--- Check #271 at 19:51:18 UTC | Balance: $3.67 ---

--- Check #272 at 19:52:48 UTC | Balance: $3.67 ---

--- Check #273 at 19:54:19 UTC | Balance: $3.67 ---

--- Check #274 at 19:55:49 UTC | Balance: $3.67 ---

--- Check #275 at 19:57:20 UTC | Balance: $3.67 ---

--- Check #276 at 19:58:51 UTC | Balance: $3.67 ---

--- Check #277 at 20:00:21 UTC | Balance: $3.67 ---

--- Check #278 at 20:01:52 UTC | Balance: $3.67 ---

--- Check #279 at 20:03:22 UTC | Balance: $3.67 ---

--- Check #280 at 20:04:53 UTC | Balance: $3.67 ---

--- Check #281 at 20:06:23 UTC | Balance: $3.67 ---

--- Check #282 at 20:07:54 UTC | Balance: $3.67 ---

--- Check #283 at 20:09:25 UTC | Balance: $3.67 ---

--- Check #284 at 20:10:55 UTC | Balance: $3.67 ---

--- Check #285 at 20:12:26 UTC | Balance: $3.67 ---

--- Check #286 at 20:13:57 UTC | Balance: $3.67 ---

--- Check #287 at 20:15:27 UTC | Balance: $3.67 ---

--- Check #288 at 20:16:58 UTC | Balance: $3.67 ---

--- Check #289 at 20:18:29 UTC | Balance: $3.67 ---

--- Check #290 at 20:20:00 UTC | Balance: $3.67 ---

--- Check #291 at 20:21:30 UTC | Balance: $3.67 ---

--- Check #292 at 20:23:01 UTC | Balance: $3.67 ---

--- Check #293 at 20:24:31 UTC | Balance: $3.67 ---

--- Check #294 at 20:26:02 UTC | Balance: $3.67 ---

--- Check #295 at 20:27:33 UTC | Balance: $3.67 ---

--- Check #296 at 20:29:03 UTC | Balance: $3.67 ---

--- Check #297 at 20:30:34 UTC | Balance: $3.67 ---

--- Check #298 at 20:32:04 UTC | Balance: $3.67 ---

--- Check #299 at 20:33:35 UTC | Balance: $3.67 ---

--- Check #300 at 20:35:05 UTC | Balance: $3.67 ---

--- Check #301 at 20:36:36 UTC | Balance: $3.67 ---

--- Check #302 at 20:38:06 UTC | Balance: $3.67 ---

--- Check #303 at 20:39:37 UTC | Balance: $3.67 ---

--- Check #304 at 20:41:07 UTC | Balance: $3.67 ---

--- Check #305 at 20:42:38 UTC | Balance: $3.67 ---

--- Check #306 at 20:44:09 UTC | Balance: $3.67 ---

--- Check #307 at 20:45:39 UTC | Balance: $3.67 ---

--- Check #308 at 20:47:10 UTC | Balance: $3.67 ---

--- Check #309 at 20:48:40 UTC | Balance: $3.67 ---

--- Check #310 at 20:50:11 UTC | Balance: $3.67 ---

--- Check #311 at 20:51:41 UTC | Balance: $3.67 ---

--- Check #312 at 20:53:12 UTC | Balance: $3.67 ---

--- Check #313 at 20:54:42 UTC | Balance: $3.67 ---

--- Check #314 at 20:56:13 UTC | Balance: $3.67 ---

--- Check #315 at 20:57:43 UTC | Balance: $3.67 ---

--- Check #316 at 20:59:14 UTC | Balance: $3.67 ---

--- Check #317 at 21:00:44 UTC | Balance: $2.64 ---

--- Check #318 at 21:02:15 UTC | Balance: $2.64 ---

--- Check #319 at 21:03:45 UTC | Balance: $2.64 ---

--- Check #320 at 21:05:16 UTC | Balance: $2.64 ---

--- Check #321 at 21:06:46 UTC | Balance: $2.64 ---

--- Check #322 at 21:08:16 UTC | Balance: $2.64 ---

--- Check #323 at 21:09:47 UTC | Balance: $2.64 ---

--- Check #324 at 21:11:17 UTC | Balance: $2.64 ---

--- Check #325 at 21:12:48 UTC | Balance: $2.64 ---

--- Check #326 at 21:14:18 UTC | Balance: $2.64 ---

--- Check #327 at 21:15:49 UTC | Balance: $2.64 ---

--- Check #328 at 21:17:20 UTC | Balance: $2.64 ---

--- Check #329 at 21:18:50 UTC | Balance: $2.64 ---

--- Check #330 at 21:20:21 UTC | Balance: $2.64 ---

--- Check #331 at 21:21:51 UTC | Balance: $2.64 ---

--- Check #332 at 21:23:21 UTC | Balance: $2.64 ---

--- Check #333 at 21:24:52 UTC | Balance: $2.64 ---

--- Check #334 at 21:26:23 UTC | Balance: $2.64 ---

--- Check #335 at 21:27:53 UTC | Balance: $2.64 ---

--- Check #336 at 21:29:24 UTC | Balance: $2.64 ---

=== CS2 monitor ended. Balance: $2.64 ===
