BTC Near-Resolution Monitor
==================================================
Monitoring mode: checking every 300s until 16:00 UTC

[13:07 UTC] BTC: $73,753 | Balance: $51.23
  $72,000: P(above)=93.9% vs YES=0.966 | edge_Y=-2.7% edge_N=+2.7%
  $74,000: P(above)=47.2% vs YES=0.490 | edge_Y=-1.8% edge_N=+1.8%
  $76,000: P(above)=5.0% vs YES=0.043 | edge_Y=+0.7% edge_N=-0.7%
  $78,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:42 UTC] BTC: $74,027 | Balance: $43.55
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=95.1% vs YES=0.966 | edge_Y=-1.4% edge_N=+1.4%
  $74,000: P(above)=50.5% vs YES=0.440 | edge_Y=+6.5% edge_N=-6.5% → YES ✓
    → BUY YES @ 0.440, $6.53, edge=6.5%, 2.3h left
    ✓ Bought! Shares: 0.00
  $76,000: P(above)=5.6% vs YES=0.035 | edge_Y=+2.1% edge_N=-2.1%
  $78,000: P(above)=0.1% vs YES=0.003 | edge_Y=-0.2% edge_N=+0.2%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:47 UTC] BTC: $73,770 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.9% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=93.0% vs YES=0.973 | edge_Y=-4.2% edge_N=+4.2%
  $74,000: P(above)=42.1% vs YES=0.460 | edge_Y=-3.9% edge_N=+3.9%
  $76,000: P(above)=3.4% vs YES=0.025 | edge_Y=+0.9% edge_N=-0.9%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.2% edge_N=+0.2%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:52 UTC] BTC: $73,726 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.9% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=92.9% vs YES=0.967 | edge_Y=-3.7% edge_N=+3.7%
  $74,000: P(above)=40.5% vs YES=0.435 | edge_Y=-3.0% edge_N=+3.0%
  $76,000: P(above)=2.9% vs YES=0.021 | edge_Y=+0.7% edge_N=-0.7%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.2% edge_N=+0.2%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[13:57 UTC] BTC: $73,562 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.9% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=91.3% vs YES=0.961 | edge_Y=-4.8% edge_N=+4.8%
  $74,000: P(above)=35.0% vs YES=0.285 | edge_Y=+6.5% edge_N=-6.5% → YES ✓
  $76,000: P(above)=1.9% vs YES=0.012 | edge_Y=+0.7% edge_N=-0.7%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:02 UTC] BTC: $73,606 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=99.9% vs YES=0.997 | edge_Y=+0.3% edge_N=-0.3%
  $72,000: P(above)=92.3% vs YES=0.969 | edge_Y=-4.5% edge_N=+4.5%
  $74,000: P(above)=36.1% vs YES=0.310 | edge_Y=+5.1% edge_N=-5.1% → YES ✓
  $76,000: P(above)=1.8% vs YES=0.014 | edge_Y=+0.4% edge_N=-0.4%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:07 UTC] BTC: $73,573 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.997 | edge_Y=+0.3% edge_N=-0.3%
  $72,000: P(above)=92.3% vs YES=0.976 | edge_Y=-5.2% edge_N=+5.2% → NO ✓
  $74,000: P(above)=34.8% vs YES=0.280 | edge_Y=+6.8% edge_N=-6.8% → YES ✓
  $76,000: P(above)=1.5% vs YES=0.011 | edge_Y=+0.5% edge_N=-0.5%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:12 UTC] BTC: $73,711 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=94.4% vs YES=0.977 | edge_Y=-3.3% edge_N=+3.3%
  $74,000: P(above)=39.2% vs YES=0.340 | edge_Y=+5.2% edge_N=-5.2% → YES ✓
  $76,000: P(above)=1.8% vs YES=0.013 | edge_Y=+0.6% edge_N=-0.6%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:17 UTC] BTC: $73,731 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
  $72,000: P(above)=95.0% vs YES=0.978 | edge_Y=-2.7% edge_N=+2.7%
  $74,000: P(above)=39.7% vs YES=0.305 | edge_Y=+9.2% edge_N=-9.2% → YES ✓
  $76,000: P(above)=1.7% vs YES=0.013 | edge_Y=+0.5% edge_N=-0.5%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:22 UTC] BTC: $73,769 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.999 | edge_Y=+0.1% edge_N=-0.1%
  $72,000: P(above)=95.8% vs YES=0.979 | edge_Y=-2.1% edge_N=+2.1%
  $74,000: P(above)=40.9% vs YES=0.295 | edge_Y=+11.4% edge_N=-11.4% → YES ✓
  $76,000: P(above)=1.6% vs YES=0.011 | edge_Y=+0.5% edge_N=-0.5%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:27 UTC] BTC: $73,767 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.999 | edge_Y=+0.1% edge_N=-0.1%
  $72,000: P(above)=96.2% vs YES=0.987 | edge_Y=-2.5% edge_N=+2.5%
  $74,000: P(above)=40.6% vs YES=0.375 | edge_Y=+3.1% edge_N=-3.1%
  $76,000: P(above)=1.4% vs YES=0.013 | edge_Y=+0.2% edge_N=-0.2%
  $78,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:32 UTC] BTC: $73,920 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.999 | edge_Y=+0.1% edge_N=-0.1%
  $72,000: P(above)=97.6% vs YES=0.985 | edge_Y=-0.8% edge_N=+0.8%
  $74,000: P(above)=46.5% vs YES=0.475 | edge_Y=-1.0% edge_N=+1.0%
  $76,000: P(above)=1.8% vs YES=0.009 | edge_Y=+0.8% edge_N=-0.8%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:37 UTC] BTC: $74,127 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=0.999 | edge_Y=+0.1% edge_N=-0.1%
  $72,000: P(above)=98.8% vs YES=0.985 | edge_Y=+0.3% edge_N=-0.3%
  $74,000: P(above)=55.0% vs YES=0.565 | edge_Y=-1.5% edge_N=+1.5%
  $76,000: P(above)=2.6% vs YES=0.011 | edge_Y=+1.4% edge_N=-1.4%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:42 UTC] BTC: $74,219 | Balance: $33.37
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=99.2% vs YES=0.992 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=59.1% vs YES=0.685 | edge_Y=-9.4% edge_N=+9.4% → NO ✓
    → BUY NO @ 0.315, $5.01, edge=9.4%, 1.3h left
    ✓ Bought! Shares: 0.00
  $76,000: P(above)=2.8% vs YES=0.015 | edge_Y=+1.3% edge_N=-1.3%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:47 UTC] BTC: $74,292 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=99.5% vs YES=0.995 | edge_Y=+0.1% edge_N=-0.1%
  $74,000: P(above)=62.6% vs YES=0.670 | edge_Y=-4.4% edge_N=+4.4%
  $76,000: P(above)=2.9% vs YES=0.018 | edge_Y=+1.1% edge_N=-1.1%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:53 UTC] BTC: $74,215 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=99.5% vs YES=0.998 | edge_Y=-0.2% edge_N=+0.2%
  $74,000: P(above)=59.6% vs YES=0.760 | edge_Y=-16.4% edge_N=+16.4% → NO ✓
  $76,000: P(above)=2.0% vs YES=0.017 | edge_Y=+0.4% edge_N=-0.4%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[14:58 UTC] BTC: $74,317 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=99.8% vs YES=0.998 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=64.7% vs YES=0.730 | edge_Y=-8.3% edge_N=+8.3% → NO ✓
  $76,000: P(above)=2.2% vs YES=0.004 | edge_Y=+1.9% edge_N=-1.9%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[15:03 UTC] BTC: $74,498 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=99.9% vs YES=0.998 | edge_Y=+0.2% edge_N=-0.2%
  $74,000: P(above)=73.3% vs YES=0.795 | edge_Y=-6.2% edge_N=+6.2% → NO ✓
  $76,000: P(above)=3.1% vs YES=0.006 | edge_Y=+2.4% edge_N=-2.4%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%

[15:08 UTC] BTC: $74,649 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=100.0% vs YES=0.999 | edge_Y=+0.1% edge_N=-0.1%
  $74,000: P(above)=80.2% vs YES=0.905 | edge_Y=-10.3% edge_N=+10.3% → NO ✓
  $76,000: P(above)=3.9% vs YES=0.018 | edge_Y=+2.2% edge_N=-2.2%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:13 UTC] BTC: $74,220 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=99.9% vs YES=0.999 | edge_Y=+0.1% edge_N=-0.1%
  $74,000: P(above)=61.8% vs YES=0.810 | edge_Y=-19.2% edge_N=+19.2% → NO ✓
  $76,000: P(above)=0.7% vs YES=0.005 | edge_Y=+0.2% edge_N=-0.2%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:18 UTC] BTC: $74,216 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=62.3% vs YES=0.670 | edge_Y=-4.7% edge_N=+4.7%
  $76,000: P(above)=0.5% vs YES=0.002 | edge_Y=+0.3% edge_N=-0.3%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:23 UTC] BTC: $74,106 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=56.4% vs YES=0.670 | edge_Y=-10.6% edge_N=+10.6% → NO ✓
  $76,000: P(above)=0.2% vs YES=0.002 | edge_Y=+0.0% edge_N=-0.0%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:28 UTC] BTC: $74,095 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=56.2% vs YES=0.565 | edge_Y=-0.3% edge_N=+0.3%
  $76,000: P(above)=0.1% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:33 UTC] BTC: $74,146 | Balance: $28.36
  $66,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $68,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.1%
  $70,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $72,000: P(above)=100.0% vs YES=1.000 | edge_Y=+0.0% edge_N=-0.0%
  $74,000: P(above)=60.4% vs YES=0.615 | edge_Y=-1.1% edge_N=+1.1%
  $76,000: P(above)=0.0% vs YES=0.002 | edge_Y=-0.1% edge_N=+0.1%
  $78,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.0% edge_N=+0.0%
  $80,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%
  $82,000: P(above)=0.0% vs YES=0.001 | edge_Y=-0.1% edge_N=+0.0%

[15:38 UTC] BTC: $73,807 | Balance: $28.36
